Site,Lab ID,Field ID ,Field Date,Reach,Transect,Source of Production,Method,Life Stage,Order,Family,Genus,Common Name ,Functional Group ,Length ,a ,b ,Weight,ID Date,Processor,QA/QC,Notes
FTC,1DRN1.7.2.2025,R1Driftnet1,7.2.2025,1,1,Terrestrial,Drift Net,Adult,Diptera,NA,NA,Mosquito,Parasite,2,0.006,3.05,0.049692716,12.31.2025,BG,BG,
FTC,1DRN1.7.2.2025,R1Driftnet1,7.2.2025,1,1,Aquatic,Drift Net,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,1,0.0074,2.879,0.0074,12.31.2025,BG,BG,
FTC,1DRN1.7.2.2025,R1Driftnet1,7.2.2025,1,1,Aquatic,Drift Net,Larvae,Diptera,NA,NA,NA,Collector-Gatherer,3,0.0025,2.692,0.048122749,12.31.2025,BG,BG,
FTC,1DRN1.7.2.2025,R1Driftnet1,7.2.2025,1,1,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,5,0.002,3.011,0.254465365,12.31.2025,BG,BG,
FTC,1DRN1.7.2.2025,R1Driftnet1,7.2.2025,1,1,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,3,0.152895591,2.18,1.676946847,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,3,0.152895591,2.18,1.676946847,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,3,0.152895591,2.18,1.676946847,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,3,0.152895591,2.18,1.676946847,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,3,0.152895591,2.18,1.676946847,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
